Word;Amount;Frequency, %
i;49;4.206008583690987
the;42;3.6051502145922747
up;38;3.2618025751072963
shady;36;3.0901287553648067
slim;36;3.0901287553648067
please;35;3.004291845493562
stand;35;3.004291845493562
you;33;2.832618025751073
m;29;2.4892703862660945
and;26;2.2317596566523603
real;23;1.9742489270386268
t;22;1.888412017167382
just;20;1.7167381974248928
a;19;1.6309012875536482
all;17;1.4592274678111588
so;17;1.4592274678111588
s;16;1.3733905579399142
to;15;1.2875536480686696
it;13;1.1158798283261802
like;13;1.1158798283261802
me;13;1.1158798283261802
of;13;1.1158798283261802
;11;0.944206008583691
are;11;0.944206008583691
but;11;0.944206008583691
on;11;0.944206008583691
other;11;0.944206008583691
can;10;0.8583690987124464
imitating;10;0.8583690987124464
in;10;0.8583690987124464
shadys;10;0.8583690987124464
won;10;0.8583690987124464
yes;10;0.8583690987124464
your;10;0.8583690987124464
cause;9;0.7725321888412017
he;8;0.6866952789699571
be;7;0.6008583690987125
is;6;0.5150214592274678
what;6;0.5150214592274678
who;6;0.5150214592274678
don;5;0.4291845493562232
fuck;5;0.4291845493562232
they;5;0.4291845493562232
at;4;0.34334763948497854
give;4;0.34334763948497854
got;4;0.34334763948497854
have;4;0.34334763948497854
here;4;0.34334763948497854
his;4;0.34334763948497854
if;4;0.34334763948497854
know;4;0.34334763948497854
little;4;0.34334763948497854
my;4;0.34334763948497854
there;4;0.34334763948497854
we;4;0.34334763948497854
will;4;0.34334763948497854
chicka;3;0.2575107296137339
dead;3;0.2575107296137339
get;3;0.2575107296137339
head;3;0.2575107296137339
her;3;0.2575107296137339
him;3;0.2575107296137339
how;3;0.2575107296137339
let;3;0.2575107296137339
next;3;0.2575107296137339
no;3;0.2575107296137339
only;3;0.2575107296137339
person;3;0.2575107296137339
re;3;0.2575107296137339
than;3;0.2575107296137339
that;3;0.2575107296137339
think;3;0.2575107296137339
us;3;0.2575107296137339
with;3;0.2575107296137339
yeah;3;0.2575107296137339
about;2;0.17167381974248927
act;2;0.17167381974248927
attention;2;0.17167381974248927
before;2;0.17167381974248927
better;2;0.17167381974248927
bum;2;0.17167381974248927
cuss;2;0.17167381974248927
cute;2;0.17167381974248927
did;2;0.17167381974248927
do;2;0.17167381974248927
dr;2;0.17167381974248927
dre;2;0.17167381974248927
eminem;2;0.17167381974248927
feel;2;0.17167381974248927
first;2;0.17167381974248927
gave;2;0.17167381974248927
goin;2;0.17167381974248927
gonna;2;0.17167381974248927
gotta;2;0.17167381974248927
haha;2;0.17167381974248927
hump;2;0.17167381974248927
kids;2;0.17167381974248927
lips;2;0.17167381974248927
loose;2;0.17167381974248927
man;2;0.17167381974248927
may;2;0.17167381974248927
might;2;0.17167381974248927
not;2;0.17167381974248927
one;2;0.17167381974248927
or;2;0.17167381974248927
outta;2;0.17167381974248927
over;2;0.17167381974248927
put;2;0.17167381974248927
say;2;0.17167381974248927
shit;2;0.17167381974248927
sick;2;0.17167381974248927
sit;2;0.17167381974248927
then;2;0.17167381974248927
time;2;0.17167381974248927
well;2;0.17167381974248927
whole;2;0.17167381974248927
women;2;0.17167381974248927
workin;2;0.17167381974248927
worse;2;0.17167381974248927
y;2;0.17167381974248927
admit;1;0.08583690987124463
aguilera;1;0.08583690987124463
ah;1;0.08583690987124463
ahh;1;0.08583690987124463
ain;1;0.08583690987124463
albums;1;0.08583690987124463
alone;1;0.08583690987124463
animals;1;0.08583690987124463
annoy;1;0.08583690987124463
another;1;0.08583690987124463
antelopes;1;0.08583690987124463
antidote;1;0.08583690987124463
argue;1;0.08583690987124463
around;1;0.08583690987124463
as;1;0.08583690987124463
ass;1;0.08583690987124463
asses;1;0.08583690987124463
audio;1;0.08583690987124463
bag;1;0.08583690987124463
balls;1;0.08583690987124463
basement;1;0.08583690987124463
bedrooms;1;0.08583690987124463
been;1;0.08583690987124463
best;1;0.08583690987124463
bitch;1;0.08583690987124463
blast;1;0.08583690987124463
boy;1;0.08583690987124463
britney;1;0.08583690987124463
burger;1;0.08583690987124463
burst;1;0.08583690987124463
by;1;0.08583690987124463
cannibals;1;0.08583690987124463
cantaloupes;1;0.08583690987124463
carson;1;0.08583690987124463
chairs;1;0.08583690987124463
channel;1;0.08583690987124463
chorus;1;0.08583690987124463
christina;1;0.08583690987124463
circling;1;0.08583690987124463
clitoris;1;0.08583690987124463
coat;1;0.08583690987124463
control;1;0.08583690987124463
cool;1;0.08583690987124463
could;1;0.08583690987124463
couple;1;0.08583690987124463
course;1;0.08583690987124463
critics;1;0.08583690987124463
cut;1;0.08583690987124463
daly;1;0.08583690987124463
damn;1;0.08583690987124463
deliver;1;0.08583690987124463
destroy;1;0.08583690987124463
didn;1;0.08583690987124463
difference;1;0.08583690987124463
discovery;1;0.08583690987124463
divorced;1;0.08583690987124463
does;1;0.08583690987124463
door;1;0.08583690987124463
down;1;0.08583690987124463
download;1;0.08583690987124463
dress;1;0.08583690987124463
durst;1;0.08583690987124463
each;1;0.08583690987124463
eat;1;0.08583690987124463
elope;1;0.08583690987124463
em;1;0.08583690987124463
even;1;0.08583690987124463
every;1;0.08583690987124463
expect;1;0.08583690987124463
false;1;0.08583690987124463
feminist;1;0.08583690987124463
fingers;1;0.08583690987124463
flippin;1;0.08583690987124463
flirting;1;0.08583690987124463
floor;1;0.08583690987124463
for;1;0.08583690987124463
fourth;1;0.08583690987124463
fred;1;0.08583690987124463
friends;1;0.08583690987124463
front;1;0.08583690987124463
funny;1;0.08583690987124463
furniture;1;0.08583690987124463
girl;1;0.08583690987124463
givin;1;0.08583690987124463
go;1;0.08583690987124463
goes;1;0.08583690987124463
grabbin;1;0.08583690987124463
grade;1;0.08583690987124463
grammy;1;0.08583690987124463
green;1;0.08583690987124463
groups;1;0.08583690987124463
guess;1;0.08583690987124463
guys;1;0.08583690987124463
half;1;0.08583690987124463
hand;1;0.08583690987124463
hear;1;0.08583690987124463
